,lambda,train_mse_0,test_mse_0,train_mse_1,test_mse_1,train_mse_2,test_mse_2,train_mse_3,test_mse_3,train_mse_4,test_mse_4,train_mse_5,test_mse_5,train_mse_6,test_mse_6,train_mse_7,test_mse_7,train_mse_8,test_mse_8,train_mse_9,test_mse_9,train_mse_10,test_mse_10,train_mse_11,test_mse_11,train_mse_12,test_mse_12,train_mse_13,test_mse_13,train_mse_14,test_mse_14,train_mse_15,test_mse_15,train_mse_16,test_mse_16,train_mse_17,test_mse_17,train_mse_18,test_mse_18,train_mse_19,test_mse_19,train_mse_20,test_mse_20,train_mse_21,test_mse_21,train_mse_22,test_mse_22,train_mse_23,test_mse_23,train_mse_24,test_mse_24,train_mse_25,test_mse_25,train_mse_26,test_mse_26,train_mse_27,test_mse_27,train_mse_28,test_mse_28,train_mse_29,test_mse_29,train_mse_30,test_mse_30
0,1e-09,0.006333838724419322,0.0063354572377245285,0.0033198981753564437,0.0033218069607312386,0.0031758657013649717,0.003181746767646374,0.002853559366864653,0.002864731373844119,0.0026560681084560308,0.00267483487962389,0.0025514981258981106,0.002581203406486776,0.0023915451109203035,0.0024208761809519424,0.0022517151106710917,0.002276622069183239,0.0021478036054144237,0.002167428596874458,0.002063641626899564,0.0020870336294105075,0.0020102185859560144,0.002037159407068615,0.0019809592183403974,0.0020091291658819654,0.001965336730216156,0.00199482690837493,0.0019481929820853283,0.001979219359771563,0.001924455741379897,0.0019563535877911544,0.0019000822891819835,0.0019316946256987416,0.0018804068942366672,0.0019113975464171615,0.0018660828980016214,0.0018972016160761457,0.001855609861235621,0.0018875764979490671,0.0018469437719663491,0.0018796249602990322,0.0018384373314921112,0.0018710574552010992,0.0018296790959779184,0.0018613664748296384,0.001821069531873966,0.0018513163942149302,0.0018137829161487679,0.0018425719815928121,0.0018081249840180107,0.0018358317669554072,0.0018035665183294153,0.0018307688518918678,0.0017994320082891258,0.0018267579033418024,0.001795125243280905,0.0018230834958015366,0.0017902443887474573,0.001819040483893498,0.0017846264119996322,0.0018142340541401549,0.0017785357219630305,0.0018087730045449769
1,1.5264179671752366e-09,0.006333838724419323,0.0063354572377245285,0.0033198981753564485,0.003321806960726087,0.0031758657013653004,0.0031817467388315576,0.0028535593668838335,0.002864731192681799,0.0026560681091358186,0.002674833093402023,0.0025514999410534873,0.002581204280843777,0.0023915651062838697,0.002420895839829312,0.0022517346808605962,0.0022766427583216747,0.00214782523355292,0.002167450058288181,0.002063662215876478,0.0020870525124030864,0.002010235652754213,0.0020371735305911775,0.001980975215853461,0.002009142344120098,0.001965352594993497,0.001994840650302377,0.0019482150815967494,0.001979240162424999,0.0019244855731341652,0.001956383444234676,0.001900115272901172,0.0019317276992496034,0.0018804356226379219,0.0019114267970898901,0.001866106995345504,0.001897226002405181,0.001855628952242745,0.0018875965447488745,0.0018469630306402203,0.00187964750825279,0.0018384613632517646,0.0018710862709757688,0.0018297094251545454,0.0018614038289347956,0.0018211028356506435,0.0018513575534253545,0.0018138150932578718,0.00184261178525,0.0018081543683395977,0.0018358676409349697,0.0018035933684754397,0.001830801396782122,0.0017994580153572483,0.0018267874018660694,0.0017951523113275282,0.0018231124750793422,0.001790274633819201,0.001819070797997038,0.0017846617662503558,0.00181426882572307,0.0017785769082187548,0.0018088138924929442
2,2.3299518105153718e-09,0.006333838724419326,0.006335457237724532,0.0033198981753564567,0.003321806960718228,0.0031758657013659353,0.0031817467154539127,0.0028535593669278035,0.0028647308501090324,0.002656068110683939,0.0026748304811115412,0.002551502715433092,0.0025812056155952276,0.0023915956384116892,0.002420925856707863,0.002251764564288484,0.0022766743529809923,0.0021478582605796775,0.0021674828331507082,0.0020636936597674014,0.002087081353934015,0.002010261722798359,0.0020371951069842677,0.0019809996568487193,0.002009162485782736,0.0019653768384689007,0.0019948616425629886,0.001948248846813105,0.001979271930777046,0.001924531154282897,0.001956429057591338,0.0019001656487096217,0.0019317782140640337,0.0018804795312913295,0.001911471496489809,0.0018661438342568956,0.0018972632686667698,0.0018556581894167048,0.00188762720259097,0.0018469925289313189,0.0018796820614216648,0.0018384981342587116,0.0018711303291078253,0.0018297558276251097,0.0018614609417392587,0.0018211537811327638,0.0018514204722133096,0.0018138643394202572,0.0018426726630787302,0.0018081993740972839,0.0018359225357054306,0.0018036345280673161,0.0018308512286390037,0.0017994978946018487,0.0018268325945401003,0.0017951938369517484,0.0018231569805486694,0.0017903210191915029,0.001819117294869862,0.0017847159551059601,0.001814322116502445,0.0017786399760033763,0.0018088765016814553
3,3.556480306223136e-09,0.006333838724419333,0.00633545723772454,0.003319898175356479,0.003321806960706239,0.003175865701367819,0.0031817466354132073,0.0028535593670426422,0.0028647303304820083,0.002656068114432525,0.002674826253149163,0.0025515069591209223,0.00258120765366798,0.0023916422528472013,0.00242097168288564,0.0022518102067782698,0.0022767226112639224,0.0021479087042254787,0.0021675328937243764,0.002063741698548315,0.002087125424721156,0.002010301564024726,0.0020372280834991493,0.0019810370153763627,0.002009193286048415,0.00196541390791899,0.0019948937329691196,0.0019483004672513557,0.001979320458239042,0.0019246008110838484,0.0019564987779341217,0.001900242658740164,0.0019318554595483758,0.0018805466922653328,0.0019115398460566864,0.0018662001974160043,0.001897320268600526,0.0018557030590981613,0.0018876741415471215,0.0018470377669369156,0.0018797350136250778,0.0018385544557277152,0.0018711976957930913,0.0018298268944430638,0.0018615483321586877,0.0018212318020786975,0.001851516616576679,0.0018139398217104543,0.0018427658819132563,0.0018082684191032448,0.0018360066459270317,0.0018036977294790453,0.0018309276433792552,0.0017995591960437724,0.001826902003077184,0.0017952577553989892,0.0018232254377101658,0.0017903923546260091,0.0018191887246079472,0.001784799187504537,0.0018144040154225982,0.0017787367604272003,0.0018089726409921774
4,5.4286754393238595e-09,0.00633383872441935,0.006335457237724556,0.0033198981753565287,0.0033218069606879563,0.0031758657013719258,0.003181746559091883,0.0028535593673203125,0.002864729249527658,0.0026560681231020456,0.0026748199219505586,0.002551513456398858,0.0025812107650074355,0.0023917134361068444,0.002421041655528008,0.0022518799408153293,0.0022767963454168537,0.0021479857730135722,0.002167609381992914,0.002063815128698731,0.0020871927961602548,0.0020103624814774373,0.002037278514037693,0.0019810941548971538,0.002009240425184843,0.001965470647604399,0.0019949428399865425,0.001948379454432317,0.00197939462178193,0.0019247073297891577,0.0019566054214880664,0.001900360405931389,0.0019319735350228882,0.0018806495428201572,0.001911644412106859,0.0018662865348433692,0.0018974075307887622,0.0018557719949046196,0.001887746288871115,0.0018471073898464925,0.0018798164589878632,0.0018386410093372528,0.001871300915600387,0.0018299359207152946,0.0018616820949227432,0.0018213515410384605,0.0018516638578127249,0.0018140557723860813,0.0018429090885577523,0.001808374597711372,0.0018361356769740623,0.0018037950990336612,0.0018310450763471553,0.001799653776676784,0.0018270085946616138,0.001795356594472585,0.0018233312208531301,0.0017905024869346278,0.001819299382511486,0.001784927367849997,0.001814529998563234,0.0017788856711812712,0.0018091205944094323
5,8.28642772854686e-09,0.006333838724419389,0.006335457237724595,0.0033198981753566454,0.003321806960660089,0.003175865701381829,0.0031817463961584915,0.0028535593679368788,0.0028647280388461463,0.0026560681443019017,0.00267480960807908,0.0025515234195023166,0.002581215516093245,0.00239182216373954,0.0024211485206358132,0.0022519865382177214,0.00227690907033933,0.002148103570661426,0.002167726306147289,0.00206392743783763,0.002087295864145821,0.0020104557237034804,0.002037355731437929,0.001981181647448317,0.0020093126592235903,0.001965557606231907,0.0019950180691584484,0.001948500417333511,0.001979508064501998,0.0019248704250026723,0.001956768582032478,0.0019005407062196104,0.001932154289543494,0.0018808073705895423,0.0019118046165019337,0.0018664190580322485,0.0018975411257808183,0.0018558781296003535,0.0018878570480245413,0.001847214880648884,0.0018799427085258963,0.0018387744224105523,0.0018714591962002436,0.0018301037058148066,0.001861887513438629,0.0018215357507188046,0.0018518898409366953,0.0018142343926746715,0.0018431294372188232,0.0018085385048582342,0.0018363340624776795,0.0018039457975698228,0.0018312261340026558,0.0017998005019543902,0.001827173956136237,0.001795510035306757,0.0018234948901533737,0.0017906733932377989,0.0018194713269639243,0.0017851254934726506,0.0018147252079984053,0.001779115609866434,0.0018093488458099023
6,1.2648552168552958e-08,0.0063338387244194815,0.006335457237724687,0.003319898175356918,0.0033218069606176467,0.003175865701407056,0.003181746202966137,0.002853559369498697,0.002864726071868314,0.002656068190633708,0.0026747953854989676,0.002551538735114185,0.0025812227736154705,0.0023919882818574352,0.0024213117624244255,0.0022521495981619906,0.002277081532028832,0.002148283763764676,0.0021679051932486765,0.002064099414197689,0.0020874537688788156,0.0020105986771253,0.0020374741875195668,0.0019813158347252225,0.0020094235752875765,0.0019656912082500495,0.0019951340029429033,0.001948686005077033,0.0019796819584658476,0.0019251206046494978,0.001957018458015985,0.0019008171401509303,0.0019324313467141718,0.0018810490252860069,0.0019120495425504814,0.0018666230135113812,0.0018977465032612132,0.0018560423070921636,0.0018880276515461116,0.0018473820335395384,0.001880137117475982,0.001838980827505786,0.0018717030878976787,0.0018303627912923226,0.0018622040224774527,0.001821820536559201,0.0018522382666052626,0.0018145108170533795,0.0018434697149226713,0.0018087928902944888,0.001836640516375174,0.0018041806857575307,0.0018315080846724907,0.0018000300574326285,0.0018274309827527473,0.0017957503463620322,0.0018237515426635456,0.0017909401876752245,0.001819741327248396,0.0017854343566761483,0.0018150302029966818,0.0017794726281346572,0.001809703983224812
7,1.9306977288832496e-08,0.006333838724419694,0.0063354572377249,0.003319898175357552,0.003321806960553079,0.0031758657014575704,0.003181745836806543,0.002853559372928533,0.0028647226557147946,0.0026560683038603355,0.0026747714135153698,0.0025515623625858522,0.0025812338675935634,0.0023922422456795376,0.0024215612490135884,0.00225239932139903,0.0022773457236566178,0.002148559693310002,0.0021681791974863104,0.002064363157188136,0.0020876961174139557,0.0020108183161188222,0.002037656370580414,0.0019815221402338192,0.0020095944123351347,0.001965897122750848,0.001995312964281337,0.0019489715787113203,0.001979949346575899,0.0019255055460697876,0.0019574022985983,0.0019012415218878733,0.0019328580849426644,0.0018814208645644228,0.0019124270727802282,0.001866938431684835,0.0018980641406807172,0.0018562979823856368,0.0018882931484592517,0.0018476434492156004,0.0018804413659831373,0.0018393029299311945,0.0018720831986685951,0.0018307658293078987,0.0018626952968295526,0.0018222637084799064,0.0018527800366360144,0.001814942425027172,0.0018439994338803113,0.0018091910496462569,0.0018371185625460293,0.0018045500624969905,0.0018319472332326433,0.001800393216146817,0.001827838144755533,0.0017961306613916948,0.0018241540218194411,0.0017913606870110013,0.0018201659986619976,0.001785919444040408,0.001815509784655687,0.001780030445969578,0.0018102595065174996
8,2.9470517025518096e-08,0.006333838724420189,0.006335457237725396,0.00331989817535903,0.0033218069604550324,0.0031758657015742335,0.0031817455682114403,0.0028535593804661853,0.0028647184408802434,0.0026560685591399675,0.002674737646495413,0.0025515990072846064,0.002581250829736716,0.0023926307679710225,0.0024219427217443976,0.0022527824092906127,0.002277751161555245,0.002148982940510366,0.0021685996653395215,0.002064768692639252,0.00208806923076029,0.0020111567301621634,0.0020379374871814003,0.001981840466533172,0.0020098587415478346,0.0019662161624323603,0.001995591357172017,0.001949413132106892,0.0019803610506461695,0.001926099208092076,0.0019580008240842996,0.0019018950191058443,0.0019335124489652297,0.0018819973191477903,0.0019130126737340752,0.0018674298836580498,0.001898554034589979,0.001856700074605978,0.0018887118357763237,0.0018480554140169342,0.0018809186284764654,0.001839810559927767,0.0018726821826549234,0.0018313978619757913,0.0018634548125844533,0.0018229590385946538,0.0018536260379909894,0.001815623145646338,0.001844829317362858,0.0018098205756096914,0.0018378705495880727,0.0018051377866912261,0.0018326351314451588,0.0018009750830962705,0.0018284910302744078,0.0017967386349845686,0.0018247887675439777,0.001792033312712348,0.0018208442709789466,0.0017866888665355614,0.001816265581744078,0.0017809118179975907,0.0018111373341947671
9,4.498432668969444e-08,0.0063338387244213454,0.006335457237726551,0.0033198981753624728,0.003321806960306561,0.00317586570186542,0.00318174479184576,0.0028535593971723908,0.0028647118273809175,0.0026560691396510026,0.0026746870394236005,0.002551656264245297,0.002581276736805834,0.0023932258883268415,0.0024225266096232112,0.0022533715210274617,0.002278375002015001,0.0021496338135997147,0.002169246684981882,0.0020653946261614447,0.002088646223850867,0.0020116807652866974,0.002038373908047426,0.0019823344317080652,0.0020102708529974337,0.001966714551641638,0.0019960308695542773,0.001950100150458084,0.0019809886861145752,0.0019270193758893727,0.001958933765129684,0.001902907123264947,0.0019345282676801862,0.0018828969245048225,0.0019139266171766894,0.0018682014909044565,0.0018993204182140137,0.0018573428363509227,0.0018893925145169021,0.0018487189443941072,0.0018816791583102187,0.0018406192240019513,0.00187363286242256,0.0018324009710277637,0.001864656490261011,0.0018240606195974978,0.0018549393105968203,0.0018167073724487542,0.0018461365703568721,0.0018108296634082304,0.0018390675179902802,0.0018060870240231611,0.0018337309757241933,0.001801917839147106,0.0018295271170349285,0.0017977229923779752,0.0018258033027513814,0.0017931266679576366,0.0018219425960626888,0.001787918858648399,0.0018174641965633506,0.0017823195243495422,0.0018125212792905084
