,lambda,train_mse_1,test_mse_1,train_mse_2,test_mse_2,train_mse_3,test_mse_3,train_mse_4,test_mse_4,train_mse_5,test_mse_5,train_mse_6,test_mse_6,train_mse_7,test_mse_7,train_mse_8,test_mse_8,train_mse_9,test_mse_9,train_mse_10,test_mse_10,train_mse_11,test_mse_11,train_mse_12,test_mse_12,train_mse_13,test_mse_13,train_mse_14,test_mse_14,train_mse_15,test_mse_15,train_mse_16,test_mse_16,train_mse_17,test_mse_17,train_mse_18,test_mse_18,train_mse_19,test_mse_19,train_mse_20,test_mse_20,train_mse_21,test_mse_21,train_mse_22,test_mse_22,train_mse_23,test_mse_23,train_mse_24,test_mse_24,train_mse_25,test_mse_25
0,1e-07,0.05133585696762742,0.051631717688881675,0.04412773523497946,0.04468233930076413,0.034850640090344144,0.03584546745414146,0.032362400555417274,0.03372495367795057,0.031094815408298105,0.032603104830652874,0.03057142258456939,0.032304025371911724,0.03003279464150948,0.031837455642072764,0.0297278558028148,0.031668319724170516,0.0296067985288901,0.0317947437444232,0.029502749746742923,0.03193093581183779,0.0293495159369661,0.03186684445171798,0.02915133697397993,0.03164582708207484,0.028971344155954537,0.03141691419569122,0.028836903335802473,0.031257290898068064,0.028739638187584876,0.03117298377813294,0.028667535031491866,0.031127694754821467,0.028615954773275026,0.03112119221284824,0.02857426362538083,0.031116226662182535,0.02851418934075034,0.031093655769433348,0.028458652109154253,0.03108758834257432,0.028387628021350225,0.031112232517957576,0.028308835985864388,0.031207645836893737,0.028212271817887557,0.031398801491023996,0.02813133360089016,0.0317223239825388,0.02802791013088619,0.03216793761560247
1,1.7782794100389227e-07,0.05133585696769196,0.0516317176004347,0.04412773523815688,0.04468230624266065,0.03485064022738586,0.035845321708806624,0.03236331583201259,0.03372562060297977,0.03109533209163684,0.032603651061535247,0.030572254070247253,0.03230455888602178,0.030033892288826736,0.03183821756087475,0.02972869774493588,0.03166878661204808,0.029607449817644304,0.03179482997213852,0.029503696425135423,0.03193099613297873,0.02935089761487093,0.03186765229676055,0.02915296842252495,0.031647239384868985,0.02897289715106154,0.031418340310319315,0.028838203516972583,0.031258431151152864,0.02874069919517086,0.03117371535705264,0.028668451700402647,0.031128128723204147,0.028616900369306243,0.03112182624996924,0.028575183631772617,0.031117040793179195,0.028515346509412988,0.031095476971055257,0.028460029840646505,0.03108975795720397,0.028389205172438498,0.031114314794781626,0.02831053757581547,0.031208547471069437,0.028214068966078237,0.03139755786906274,0.028133194133868278,0.03171772417755499,0.028029891838365645,0.03215979487164404
2,3.162277660168379e-07,0.051335856967896144,0.05163171744324095,0.0441277352466194,0.04468227712054381,0.03485064060904984,0.035845119259484,0.03236494495129808,0.033726808156505236,0.031096253497990573,0.03260462512539944,0.03057373808781589,0.03230551349294274,0.03003585172860309,0.03183957916261122,0.029730202910788796,0.03166962441802012,0.02960861997872639,0.03179499773397491,0.02950538693419421,0.03193110697166399,0.029353367100909755,0.031869128010293304,0.029155887824698003,0.031649745149259154,0.02897568044436998,0.03142089100337006,0.02884053909876012,0.031260485285002845,0.02874261863110149,0.03117504073052264,0.028670113297329797,0.031128943112467434,0.02861861666346413,0.031122916925114825,0.02857686161324475,0.031118521615011698,0.028517455182922702,0.031098731688159086,0.02846252475327395,0.031093600356958895,0.028392051568092,0.03111801684119555,0.028313616162777316,0.031210154591699162,0.028217322658037152,0.031395309929817185,0.028136573795327434,0.03170966708228386,0.028033473579131173,0.03214524341012111
3,5.62341325190349e-07,0.05133585696854207,0.05163171716399012,0.04412773527383461,0.04468219706314869,0.034850642037556265,0.03584465178606597,0.0323678469112224,0.03372892485501136,0.031097900803130053,0.03260636652114306,0.030576392803060883,0.032307229542359095,0.030039358413095747,0.03184202209882926,0.02973290530874894,0.03167113798820027,0.029610732240100635,0.03179535309924812,0.029508426265125058,0.031931321734064586,0.02935780001873004,0.03187178923681277,0.0291611317626106,0.03165422464597165,0.02898069564402127,0.031425509458688314,0.028844766109020252,0.03126418963715343,0.02874615515243829,0.03117746237763127,0.028673173461954287,0.031130513964988164,0.028621770688062976,0.031124942512786295,0.028579974799264087,0.03112134291297277,0.028521345023643514,0.03110458641819299,0.02846708565333584,0.031100662476466125,0.028397233507345465,0.03112449892227166,0.02831924088043289,0.031212866578957325,0.028223288418520526,0.0313913723111046,0.028142788047015355,0.031695352493863065,0.028040035021014553,0.03211947712014975
4,1e-06,0.05133585697058503,0.05163171666830084,0.04412773535382084,0.04468209771219847,0.034850646414075905,0.03584384199516264,0.032373023791447686,0.03373270341058978,0.03110086341281395,0.032609506705178856,0.03058118112734119,0.03231025771084103,0.030045667450923304,0.031846399107605096,0.029737786523840737,0.03167390303087556,0.02961456159908337,0.031796053201841354,0.029513933629486733,0.03193198069713291,0.029365799787842862,0.03187655099683493,0.029170618716033138,0.03166240264681475,0.028989816197734015,0.031433940644348735,0.02885251990194817,0.03127116188511706,0.02875276959196884,0.031182119188157064,0.028678925102403375,0.031133504276153755,0.028627704084337395,0.031128749896646258,0.028585830373112214,0.031126616350140895,0.028528703248477606,0.031115257765946737,0.028475632229900412,0.031113459930455258,0.02840692666950755,0.031136213076759255,0.028329747413483673,0.031217819749565688,0.028234479477086842,0.03138383312313743,0.028154438011657446,0.031670086840559476,0.028052189948213856,0.0320731266304378
5,1.778279410038923e-06,0.051335856977665975,0.051631719796299616,0.04412773569743157,0.04468180320137633,0.03485066245724112,0.035842261573535386,0.03238229465411557,0.03373948524208674,0.031106235516439734,0.03261521797364848,0.030589929096674223,0.032315834418005215,0.03005710267925869,0.03185437230680395,0.029746706019236173,0.03167913622276002,0.029621681609175905,0.031797389245558486,0.029524147927497225,0.031933755965122,0.029380398187147726,0.0318853786717586,0.02918801726658953,0.03167722039423711,0.029006715020637164,0.031449784945954226,0.028867004346999247,0.03128439493391591,0.028765385162038516,0.03119107600661499,0.028690081676526667,0.031140008031029565,0.028639129028116474,0.03113592049891877,0.028597516136527563,0.03113725274198939,0.028542845515262122,0.031133779267205987,0.028492195366714667,0.031137022263183996,0.028425700868593688,0.031156597263160103,0.028349742899672993,0.03122618822945316,0.028256044143474962,0.03137092178552006,0.0281768350315419,0.031626918181059865,0.028075537920489897,0.031992027354717956
6,3.162277660168379e-06,0.0513358569985,0.05163171824325443,0.044127736548425986,0.044681528456472025,0.0348507188217501,0.0358391641961851,0.032398960468534195,0.03375170992444837,0.031116093417781376,0.032625661009808196,0.03060623693423977,0.03232630408216506,0.03007811307105012,0.0318691447986975,0.029763337950714695,0.03168929745812772,0.029635261571605863,0.03180066613684539,0.029543450429294415,0.03193737035012458,0.029407195526254343,0.031903010608094765,0.029220629758505718,0.03170560596384605,0.0290387157448325,0.031479986884025375,0.028894857645099626,0.03130883639543526,0.028790737020328472,0.031209757552242645,0.028712551720140988,0.031154548651072034,0.028662496076206447,0.03115165611134054,0.028621603852730864,0.031158482129967118,0.02857085043490313,0.031163370709491812,0.028524114728859885,0.03117466331595168,0.028462393867054188,0.031192680622586743,0.028389408723987403,0.031242573914315695,0.028298535547320147,0.031352426532706486,0.028221620077083027,0.03155892544295782,0.028121830145794446,0.031860419107536904
7,5.623413251903491e-06,0.051335857063830224,0.051631715509863584,0.0441277389113338,0.04468095234713374,0.03485085208493631,0.035834376678351446,0.03242918134948916,0.033774012180119425,0.03113469468146457,0.03264522113793762,0.030636410886322935,0.032346440770248716,0.03011762078716288,0.031896976484188364,0.0297954789901047,0.031710626594641744,0.029662341087566563,0.03180618973294036,0.029580536732547104,0.03194675168508389,0.029458653400646094,0.03193748561399263,0.029282954677139462,0.031762911501866734,0.029100956912926544,0.031536757981098236,0.02895062842587015,0.031360386747654,0.028841086979256293,0.03125076640913388,0.028759421015593683,0.031184414893519096,0.028708325471237455,0.031183280070702812,0.028670191518544757,0.031199315196799204,0.028625389337686297,0.031214183813560965,0.028587084139583364,0.031238338309102637,0.028534066496520717,0.03125568032617378,0.028467368641500557,0.03127817037685354,0.028382370816604725,0.03134335264550243,0.028309097860716996,0.03147917047601466,0.028212478165692084,0.031695024506899934
8,1e-05,0.05133585729215011,0.05163172064482076,0.04412774627461666,0.04468010731960593,0.034851268105792324,0.03582329989263826,0.03248469257379106,0.033815720873421835,0.03117119614872881,0.03268309585135617,0.030693415638107163,0.03238766922529338,0.03019437961256995,0.03195094915840367,0.029859948946348767,0.03175293015773087,0.029715944364320106,0.03181680171196908,0.029649653779049618,0.03196101438261413,0.029557510311575042,0.03201101047425611,0.029402155559034915,0.031874455038690054,0.029223666128284344,0.031657397588987155,0.029062554777555406,0.03146438095493104,0.028939353075752496,0.03133583113048909,0.028851745042958225,0.031266554575515956,0.028798404253208464,0.031255106607289015,0.028761913892011316,0.03127856219563045,0.028725605171000663,0.03130858911164896,0.028697065554624212,0.031337093579896155,0.028659129666679307,0.03136282215706338,0.028609557326588913,0.03137509443595321,0.028537945920634654,0.031399309389999006,0.02847274440569823,0.031464388498759585,0.028380983395057097,0.03157905607682914
9,1.778279410038923e-05,0.05133585795497779,0.0516317124594728,0.04412776939627751,0.04467797946299491,0.03485245047823754,0.03580653267627763,0.03258999017575142,0.03389747804175695,0.031246976795840976,0.03275890741300329,0.030801372059722977,0.03247545757013646,0.030346783762414925,0.03206430621022555,0.029992217742707522,0.03183398668775994,0.029826037966556522,0.03186271589386992,0.029772957870322237,0.031994810248648545,0.029714901204504197,0.032108646158821606,0.029613105072405343,0.032078597130028565,0.02945456170057768,0.031905207310428146,0.029283896275105258,0.03170498274350554,0.029137699903731735,0.03154370129075051,0.029026251879162867,0.031427545563113085,0.02896432843487614,0.03139661824012131,0.02892785492753571,0.03140770598245325,0.02889650796977212,0.031449070527065845,0.02888609731908187,0.0315119143791367,0.028864084148020726,0.03154168327783864,0.028829479959983795,0.03155032177764168,0.028784353776944393,0.03155727794658168,0.028746286813978283,0.03158481284760153,0.028674646982970474,0.03161849785018763
